num_fel_arrests_last_year,current_charge_felony,pred_dt,predicted_risk,arrested
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
4,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,1
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,1
2,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
2,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
3,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
3,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
2,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
2,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
3,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
3,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
4,0,0,0.19190283400809716,1
1,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
1,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,1,0,0.425531914893617,1
1,0,0,0.19190283400809716,1
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
2,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
2,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
2,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,1
1,0,0,0.19190283400809716,1
5,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,1
0,1,0,0.425531914893617,0
2,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
3,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,1
1,0,0,0.19190283400809716,1
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,1,0,0.425531914893617,1
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
3,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
4,0,0,0.19190283400809716,0
4,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
2,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
2,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
1,1,0,0.425531914893617,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
2,0,0,0.19190283400809716,1
7,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
3,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
2,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
1,0,0,0.19190283400809716,1
1,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,1,0,0.425531914893617,0
1,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
2,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
1,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
3,1,0,0.425531914893617,1
1,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,1
1,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,1
0,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,1
1,1,0,0.425531914893617,1
1,1,0,0.425531914893617,1
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,1,0,0.425531914893617,0
0,0,0,0.19190283400809716,0
3,1,0,0.425531914893617,1
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
1,0,0,0.19190283400809716,0
0,0,0,0.19190283400809716,0
